GEOID,STATE,COUNTY,CNTY_FIPS,STUSAB,hh1_t,median_hh_income,hh1_h,hh1_ht,autos_per_hh,pct_transit_j2w,households,pct_renters,median_commute
53033023202,53,33,53033,WA,17.50151497,52917,25.31683477,42.81834974,1.287216381,13.32048089,1807,65.28841246,5.86
53033026802,53,33,53033,WA,19.98355366,46250,25.29877328,45.28232695,1.84969697,8.918065914,1650,45.63937935,8.6
53033007402,53,33,53033,WA,9.58544291,48378,28.07133362,37.65677653,0.6812749,25.47350018,3514,73.46831449,5.86
53033004301,53,33,53033,WA,17.85280683,73667,28.17150875,46.02431558,1.455571227,30.78532806,1418,46.48719632,5.54
53033031705,53,33,53033,WA,24.52860814,109712,27.00392468,51.53253282,2.445894091,1.51349992,1303,12.14824983,14.42
53033032214,53,33,53033,WA,24.35447039,162393,27.39055623,51.74502662,2.174412794,7.919653382,2001,11.40350877,8.01
53033010001,53,33,53033,WA,17.9997705,61699,27.76137104,45.76114154,1.356725146,35.32601112,1539,44.47834045,6.24
53033032311,53,33,53033,WA,25.63862416,126224,25.96049933,51.59912349,2.522780648,1.350716616,2129,7.186472522,11.05
53033030100,53,33,53033,WA,23.31956267,84012,26.41991633,49.739479,2.165087957,9.175902132,2956,17.77493606,13.98
53033031907,53,33,53033,WA,23.43321739,94684,26.88165741,50.3148748,2.124324324,2.893263684,2775,15.40540541,12.47
53033027000,53,33,53033,WA,21.34059233,51967,25.60195532,46.94254765,2.413612565,4.872744829,1146,30.36734694,8.07
53033027300,53,33,53033,WA,19.59876838,49660,25.24563963,44.84440801,1.840740741,14.4123742,1890,49.92374174,9.17
53033026500,53,33,53033,WA,18.53317018,36733,24.00176025,42.53493043,1.439613527,22.91186035,1449,62.98200514,7.68
53033027100,53,33,53033,WA,18.85008954,47375,24.59298966,43.44307921,1.678661088,13.71434533,1195,55.20599251,8.3
53033024903,53,33,53033,WA,23.84699716,157311,28.18775758,52.03475474,2.370535714,8.489539385,2240,8.821034775,8.52
53033029403,53,33,53033,WA,21.35275716,74318,26.3125495,47.66530665,2.118723849,7.918178335,1912,31.02244389,12.08
53033028300,53,33,53033,WA,21.73135257,79070,27.98521346,49.71656604,2.093071355,11.74139634,1934,20.59377945,10.46
53033023201,53,33,53033,WA,17.26810096,86168,26.19025193,43.45835289,1.323293938,34.54179979,2623,64.35119887,3.31
53033023100,53,33,53033,WA,21.72695058,95238,27.68173264,49.40868322,2.052863436,6.75277497,1362,22.05582029,7.57
